date,station,deployment,has_data,data_start,data_end,missing_start,missing_end,n_points,expected_npts,is_full,n_gaps,n_segments,gap_total_duration_s,gap_max_missing,gap_total_missing,sp_calc,sp_fit,sp_nominal,sp_deviation,sp_fit_deviation,sp_calc_minus_fit,sp_alert,jitter_mean_ms,jitter_median_ms,jitter_std_ms,jitter_p95_ms,jitter_max_ms,res_std_ms,res_p95_ms,skewness,figure_generated
2025-01-01,RS01SLBS-MJ01A-06-PRESTA101,2,True,2025-01-01T00:00:00Z,2025-01-01T23:59:59Z,False,False,86400,86357,True,0,1,0.0,0,0,1.000494,1.0,1.0,0.000494,0.0,0.000494,False,1.6777,0.2923,3.2398,12.4466,25.3959,3.1017,4.9671,1.9551,False
2025-01-02,RS01SLBS-MJ01A-06-PRESTA101,2,True,2025-01-02T00:00:00Z,2025-01-02T23:59:59Z,False,False,86400,86357,True,0,1,0.0,0,0,1.000494,1.0,1.0,0.000494,0.0,0.000494,False,1.6818,0.2947,3.2389,12.456,27.2322,2.8003,4.0289,2.6374,False
2025-01-03,RS01SLBS-MJ01A-06-PRESTA101,2,False,,,,,0,0,False,0,0,,,,,,1.0,,,,False,,,,,,,,,False
2025-01-04,RS01SLBS-MJ01A-06-PRESTA101,2,True,2025-01-04T00:00:00Z,2025-01-04T23:59:59Z,False,False,86400,86357,True,0,1,0.0,0,0,1.000495,1.0,1.0,0.000495,0.0,0.000495,False,1.6832,0.2918,3.2428,12.464,20.3605,2.8105,4.0596,2.627,False
2025-01-05,RS01SLBS-MJ01A-06-PRESTA101,2,True,2025-01-05T00:00:00Z,2025-01-05T23:59:59Z,False,False,86400,86357,True,0,1,0.0,0,0,1.000494,1.0,1.0,0.000494,0.0,0.000494,False,1.693,0.2961,3.2492,12.4459,20.3891,2.8648,4.2357,2.4982,False
2025-01-06,RS01SLBS-MJ01A-06-PRESTA101,2,True,2025-01-06T00:00:00Z,2025-01-06T23:59:59Z,False,False,86400,86358,True,0,1,0.0,0,0,1.000491,1.0,1.0,0.000491,0.0,0.00049,False,1.6845,0.2933,3.2478,12.4679,24.5619,2.8875,4.3257,2.4179,False
2025-01-07,RS01SLBS-MJ01A-06-PRESTA101,2,True,2025-01-07T00:00:00Z,2025-01-07T23:59:59Z,False,False,86400,86358,True,0,1,0.0,0,0,1.000491,1.0,1.0,0.000491,0.0,0.000491,False,1.6937,0.2956,3.2586,12.4684,27.0581,2.8633,4.2304,2.5247,False
2025-01-08,RS01SLBS-MJ01A-06-PRESTA101,2,True,2025-01-08T00:00:00Z,2025-01-08T23:59:59Z,False,False,85388,86357,False,1,2,1013.0,1011,1011,1.000495,1.008863,1.0,0.000495,0.008863,-0.008368,False,1.6895,0.2937,3.2593,12.4829,23.84,2.9242,4.4763,2.3435,True
2025-01-09,RS01SLBS-MJ01A-06-PRESTA101,2,True,2025-01-09T00:00:00Z,2025-01-09T23:59:59Z,False,False,86400,86357,True,0,1,0.0,0,0,1.000495,1.0,1.0,0.000495,0.0,0.000495,False,1.6821,0.2947,3.241,12.4517,23.9391,2.8231,4.1095,2.5857,False
2025-01-10,RS01SLBS-MJ01A-06-PRESTA101,2,True,2025-01-10T00:00:00Z,2025-01-10T23:59:59Z,False,False,86400,86358,True,0,1,0.0,0,0,1.000492,1.0,1.0,0.000492,0.0,0.000492,False,1.6799,0.2971,3.245,12.4665,20.6118,2.8421,4.1583,2.5495,False
