date,station,deployment,has_data,data_start,data_end,missing_start,missing_end,n_points,expected_npts,is_full,n_gaps,n_segments,gap_total_duration_s,gap_max_missing,gap_total_missing,sp_calc,sp_fit,sp_nominal,sp_deviation,sp_fit_deviation,sp_calc_minus_fit,sp_alert,jitter_mean_ms,jitter_median_ms,jitter_std_ms,jitter_p95_ms,jitter_max_ms,res_std_ms,res_p95_ms,skewness,figure_generated
2025-01-01,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-01T00:00:00Z,2025-01-01T23:59:59Z,False,False,86400,86486,True,0,1,0.0,0,0,0.99901,1.0,1.0,0.00099,-0.0,-0.00099,False,2.3709,1.1029,3.2426,11.2673,26.7272,3.3587,5.6523,1.5551,False
2025-01-02,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-02T00:00:00Z,2025-01-02T23:59:59Z,False,False,86400,86486,True,0,1,0.0,0,0,0.999,1.0,1.0,0.001,-0.0,-0.001,False,2.3703,1.1101,3.2402,11.2529,26.8321,2.9071,4.374,2.385,False
2025-01-03,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-03T00:00:00Z,2025-01-03T23:59:59Z,False,False,86400,86486,True,0,1,0.0,0,0,0.999003,1.0,1.0,0.000997,-0.0,-0.000997,False,2.3672,1.101,3.2443,11.2527,26.7587,3.043,4.9265,2.0315,False
2025-01-04,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-04T00:00:00Z,2025-01-04T23:59:59Z,False,False,86400,86486,True,0,1,0.0,0,0,0.999001,1.0,1.0,0.000999,-0.0,-0.000999,False,2.3602,1.102,3.2275,11.1924,26.6395,2.8663,4.2658,2.4516,False
2025-01-05,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-05T00:00:00Z,2025-01-05T23:59:59Z,False,False,86400,86486,True,0,1,0.0,0,0,0.999009,1.0,1.0,0.000991,-0.0,-0.000991,False,2.3671,1.1063,3.2369,11.2583,26.5002,2.9076,4.4078,2.3292,False
2025-01-06,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-06T00:00:00Z,2025-01-06T23:59:59Z,False,False,86400,86486,True,0,1,0.0,0,0,0.999002,1.0,1.0,0.000998,-0.0,-0.000998,False,2.367,1.1072,3.2408,11.2506,25.5442,2.9803,4.5897,2.2286,False
2025-01-07,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-07T00:00:00Z,2025-01-07T23:59:59Z,False,False,86400,86486,True,0,1,0.0,0,0,0.999,1.0,1.0,0.001,-0.0,-0.001,False,2.3691,1.1091,3.241,11.2171,26.0048,2.8513,4.1838,2.5234,False
2025-01-08,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-08T00:00:00Z,2025-01-08T23:59:59Z,False,False,85563,86486,False,1,2,838.0,838,838,0.999,1.007302,1.0,0.001,0.007302,-0.008302,False,2.3655,1.112,3.232,11.2071,22.4581,2.9109,4.4067,2.3477,True
2025-01-09,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-09T00:00:00Z,2025-01-09T23:59:59Z,False,False,86400,86486,True,0,1,0.0,0,0,0.999011,1.0,1.0,0.000989,-0.0,-0.000989,False,2.364,1.1048,3.2295,11.2197,23.6063,2.865,4.2306,2.4807,False
2025-01-10,RS01SUM1-LJ01B-09-PRESTB102,2,True,2025-01-10T00:00:00Z,2025-01-10T23:59:59Z,False,False,86400,86486,True,0,1,0.0,0,0,0.999005,1.0,1.0,0.000995,-0.0,-0.000994,False,2.3713,1.1077,3.2417,11.2506,26.5245,2.8658,4.2001,2.5038,False
