date,station,deployment,has_data,data_start,data_end,missing_start,missing_end,n_points,expected_npts,is_full,n_gaps,n_segments,gap_total_duration_s,gap_max_missing,gap_total_missing,sp_calc,sp_fit,sp_nominal,sp_deviation,sp_fit_deviation,sp_calc_minus_fit,sp_alert,jitter_mean_ms,jitter_median_ms,jitter_std_ms,jitter_p95_ms,jitter_max_ms,res_std_ms,res_p95_ms,skewness,figure_generated
2025-01-01,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-01T00:00:12Z,2025-01-01T23:59:57Z,False,False,5760,5760,True,0,1,0.0,0,0,14.999362,14.999999,14.999925,0.000563,7.4e-05,-0.000637,False,1.7911,0.4411,3.2947,12.3297,20.5002,3.2154,5.3898,1.7438,False
2025-01-02,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-02T00:00:12Z,2025-01-02T23:59:57Z,False,False,5760,5760,True,0,1,0.0,0,0,14.999391,15.000001,14.999925,0.000534,7.6e-05,-0.00061,False,1.7777,0.4582,3.2796,12.4334,20.9699,2.8477,4.2597,2.5781,False
2025-01-03,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-03T00:00:12Z,2025-01-03T23:59:57Z,False,False,5760,5760,True,0,1,0.0,0,0,14.999439,15.000001,14.999925,0.000486,7.6e-05,-0.000563,False,1.7643,0.4663,3.2757,12.285,20.4015,2.9345,4.4664,2.3676,False
2025-01-04,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-04T00:00:12Z,2025-01-04T23:59:57Z,False,False,5760,5760,True,0,1,0.0,0,0,14.99943,14.999998,14.999925,0.000495,7.3e-05,-0.000568,False,1.7947,0.4687,3.2594,12.2587,20.4082,2.8182,4.1997,2.549,False
2025-01-05,RS03AXBS-MJ03A-06-PRESTA301,4,False,,,,,0,0,False,0,0,,,,,,14.999925,,,,False,,,,,,,,,False
2025-01-06,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-06T00:00:12Z,2025-01-06T23:59:57Z,False,False,5760,5760,True,0,1,0.0,0,0,14.999433,14.999998,14.999925,0.000492,7.3e-05,-0.000565,False,1.7972,0.4539,3.2828,12.3335,20.8154,2.885,4.336,2.4129,False
2025-01-07,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-07T00:00:12Z,2025-01-07T23:59:57Z,False,False,5760,5760,True,0,1,0.0,0,0,14.999419,14.999999,14.999925,0.000506,7.4e-05,-0.000579,False,1.7583,0.4535,3.263,12.3524,21.8749,2.8875,4.3648,2.46,False
2025-01-08,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-08T00:00:12Z,2025-01-08T23:59:57Z,False,False,5698,5760,False,1,2,945.0,62,62,14.999426,15.121868,14.999925,0.000499,0.121943,-0.122442,False,1.7924,0.4587,3.2581,12.365,20.5252,2.9177,4.5867,2.1811,True
2025-01-09,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-09T00:00:12Z,2025-01-09T23:59:57Z,False,False,5760,5760,True,0,1,0.0,0,0,14.999411,14.999998,14.999925,0.000514,7.3e-05,-0.000587,False,1.7805,0.4449,3.3223,12.2525,20.2932,2.8867,4.2114,2.611,False
2025-01-10,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-10T00:00:12Z,2025-01-10T23:59:57Z,False,False,5760,5760,True,0,1,0.0,0,0,14.999403,14.999998,14.999925,0.000522,7.3e-05,-0.000595,False,1.8312,0.4458,3.2893,12.1927,26.65,2.9751,4.5747,2.1947,False
2025-01-11,RS03AXBS-MJ03A-06-PRESTA301,4,True,2025-01-11T00:00:12Z,2025-01-11T23:59:57Z,False,False,5760,5760,True,0,1,0.0,0,0,14.999387,14.999999,14.999925,0.000538,7.4e-05,-0.000613,False,1.8153,0.453,3.3108,12.4274,20.452,2.9143,4.3796,2.4581,False
