date,station,deployment,has_data,data_start,data_end,n_points,n_ideal,true_missing,sp_nominal,dt_FG,dt_true,t_i0_offset_s,n_gaps,gap_total_missing,n_gaps_raw,gap_total_missing_raw,jitter_mean_ms,jitter_std_ms,jitter_maxabs_ms,frac_mean,frac_std,frac_maxabs,jitter_unstable,max_abs_epsilon,figure_generated
2014-09-01,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-02,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-03,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-04,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-05,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-06,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-07,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-08,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-09,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-10,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-11,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-12,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-13,RS01SLBS-MJ01A-06-PRESTA101,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-14,RS01SLBS-MJ01A-06-PRESTA101,1,True,2014-09-14T00:00:03Z,2014-09-14T23:59:48Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-15,RS01SLBS-MJ01A-06-PRESTA101,1,True,2014-09-15T00:00:03Z,2014-09-15T23:59:48Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-16,RS01SLBS-MJ01A-06-PRESTA101,1,True,2014-09-16T00:00:03Z,2014-09-16T23:59:48Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-17,RS01SLBS-MJ01A-06-PRESTA101,1,True,2014-09-17T00:00:03Z,2014-09-17T23:59:48Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-18,RS01SLBS-MJ01A-06-PRESTA101,1,True,2014-09-18T00:00:03Z,2014-09-18T23:59:50Z,5755,5760,5,14.999925,15.0,15.000155014,-0.284439821,1,5,1,5,0.0,480.323356,1463.63972,3.6071e-13,0.03202123,0.09757497,False,0.133333,True
2014-09-19,RS01SLBS-MJ01A-06-PRESTA101,1,True,2014-09-19T00:00:05Z,2014-09-19T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
