date,station,deployment,has_data,data_start,data_end,n_points,n_ideal,true_missing,sp_nominal,dt_FG,dt_true,t_i0_offset_s,n_gaps,gap_total_missing,n_gaps_raw,gap_total_missing_raw,jitter_mean_ms,jitter_std_ms,jitter_maxabs_ms,frac_mean,frac_std,frac_maxabs,jitter_unstable,max_abs_epsilon,figure_generated
2014-09-01,RS01SUM1-LJ01B-09-PRESTB102,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-02,RS01SUM1-LJ01B-09-PRESTB102,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-03,RS01SUM1-LJ01B-09-PRESTB102,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-04,RS01SUM1-LJ01B-09-PRESTB102,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-05,RS01SUM1-LJ01B-09-PRESTB102,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-06,RS01SUM1-LJ01B-09-PRESTB102,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-07,RS01SUM1-LJ01B-09-PRESTB102,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-09-08,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-09,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-10,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-11,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-12,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-13,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-14,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-15,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-16,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-17,RS01SUM1-LJ01B-09-PRESTB102,1,False,,,0,0,,14.999925,,,,,,,,,,,,,,,,False
2014-09-18,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-18T13:30:30Z,2014-09-18T23:59:50Z,558,2519,1961,14.999925,15.0,14.997141411,-3.507744125,5,1961,5,1961,-0.0,614.735274,3524.89566,-5.854003e-13,0.04099016,0.2350378,False,0.466667,True
2014-09-19,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-19T00:00:05Z,2014-09-19T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-20,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-20T00:00:05Z,2014-09-20T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-21,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-21T00:00:05Z,2014-09-21T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-22,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-22T00:00:05Z,2014-09-22T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-23,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-23T00:00:05Z,2014-09-23T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-24,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-24T00:00:05Z,2014-09-24T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-25,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-25T00:00:05Z,2014-09-25T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-26,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-26T00:00:05Z,2014-09-26T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-27,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-27T00:00:05Z,2014-09-27T23:59:50Z,5580,5760,180,14.999925,15.0,15.0,-0.0,1,180,1,180,0.0,0.0,0.0,2.744948e-13,2.927534e-13,8.311737e-13,False,0.0,True
2014-09-28,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-28T00:00:05Z,2014-09-28T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-29,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-29T00:00:05Z,2014-09-29T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-09-30,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-09-30T00:00:05Z,2014-09-30T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-10-01,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-10-01T00:00:05Z,2014-10-01T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
2014-10-02,RS01SUM1-LJ01B-09-PRESTB102,1,True,2014-10-02T00:00:05Z,2014-10-02T23:59:50Z,5760,5760,0,14.999925,15.0,15.0,-0.0,0,0,0,0,0.0,0.0,0.0,2.805148e-12,1.486283e-12,5.820766e-12,False,0.0,False
