date,station,deployment,has_data,data_start,data_end,n_points,n_ideal,true_missing,sp_nominal,dt_FG,dt_true,t_i0_offset_s,n_gaps,gap_total_missing,n_gaps_raw,gap_total_missing_raw,jitter_mean_ms,jitter_std_ms,jitter_maxabs_ms,frac_mean,frac_std,frac_maxabs,jitter_unstable,max_abs_epsilon,figure_generated
2014-09-01,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-01T00:00:06Z,2014-09-01T23:59:51Z,5760,5760,0,14.999925,15.000706196,14.999991222,-0.0016983,0,0,0,0,0.0,2.793246,17.407512,2.54801e-12,0.0001862165,0.001160501,False,0.001361,False
2014-09-02,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-02T00:00:06Z,2014-09-02T23:59:51Z,5760,5760,0,14.999925,15.000714302,14.999990572,0.002404884,0,0,0,0,0.0,2.815269,16.517059,1.262191e-12,0.0001876847,0.001101138,False,0.00134,False
2014-09-03,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-03T00:00:06Z,2014-09-03T23:59:51Z,5760,5760,0,14.999925,15.000713825,14.999989915,0.001588655,0,0,0,0,0.0,2.836522,21.539548,1.7865e-12,0.0001891016,0.001435971,False,0.001768,False
2014-09-04,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-04T00:00:06Z,2014-09-04T23:59:51Z,5642,5760,118,14.999925,15.000699043,14.999989794,0.000759969,1,118,1,118,0.0,2.819468,19.072049,1.94332e-13,0.0001879646,0.001271471,False,0.00536,True
2014-09-05,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-05T00:00:06Z,2014-09-05T23:59:51Z,5437,5760,323,14.999925,15.00067234,14.999989656,-6.963e-05,1,323,1,323,0.0,2.792852,16.474077,8.124419e-13,0.0001861903,0.001098273,False,0.014508,True
2014-09-06,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-06T00:00:06Z,2014-09-06T23:59:51Z,5760,5760,0,14.999925,15.000666142,14.999989668,-0.001153055,0,0,0,0,0.0,2.838249,19.48717,1.696535e-12,0.0001892167,0.001299146,False,0.001516,False
2014-09-07,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-07T00:00:06Z,2014-09-07T23:59:51Z,5760,5760,0,14.999925,15.000644684,14.999989142,0.002990358,0,0,0,0,0.0,2.82084,20.320272,1.320615e-12,0.0001880561,0.001354686,False,0.00143,False
2014-09-08,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-08T00:00:06Z,2014-09-08T23:59:51Z,5569,5760,191,14.999925,15.000650406,14.999988539,0.003039756,1,191,1,191,-0.0,2.77844,16.051149,-1.010078e-12,0.0001852295,0.001070077,False,0.008432,True
2014-09-09,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-09T00:00:06Z,2014-09-09T23:59:51Z,5052,5760,708,14.999925,15.000618935,14.999988671,0.005334882,1,708,1,708,-0.0,2.814451,19.314654,-7.896454e-15,0.0001876302,0.001287645,False,0.029954,True
2014-09-10,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-10T00:00:06Z,2014-09-10T23:59:51Z,5760,5760,0,14.999925,15.000617027,14.999988675,0.001695417,0,0,0,0,0.0,2.773696,17.267634,1.6568e-12,0.0001849132,0.001151176,False,0.001377,False
2014-09-11,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-11T00:00:06Z,2014-09-11T21:25:51Z,5144,5144,0,14.999925,15.000658989,14.999988002,0.001536493,0,0,0,0,-0.0,2.802888,16.089051,-2.372937e-13,0.0001868594,0.001072604,False,0.001322,False
2014-09-12,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-12T22:44:27Z,2014-09-12T23:59:55Z,303,301,0,14.999925,15.105082512,15.056400181,17.119977124,0,0,0,0,0.0,6292.674943,17119.977124,1.989754e-14,0.4179402,1.137056,True,0.452181,False
2014-09-13,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-13T00:00:10Z,2014-09-13T23:59:55Z,5760,5760,0,14.999925,15.000667572,14.99999344,0.00379105,0,0,0,0,0.0,2.83224,20.790007,3.252075e-12,0.0001888161,0.001386001,False,0.001338,False
2014-09-14,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-14T00:00:10Z,2014-09-14T23:59:55Z,5760,5760,0,14.999925,15.000671864,14.999993646,-0.000142188,0,0,0,0,0.0,2.806339,16.013154,7.891349e-13,0.0001870893,0.001067544,False,0.00136,False
2014-09-15,RS03AXBS-MJ03A-06-PRESTA301,1,True,2014-09-15T00:00:10Z,2014-09-15T23:59:55Z,5760,5760,0,14.999925,15.000683308,14.999993676,0.002103807,0,0,0,0,0.0,2.809247,19.529359,2.343985e-12,0.0001872832,0.001301958,False,0.001354,False
