date,station,deployment,source_csv,dt_FG,dt_true,group_median_dt_true,group_mad_dt_true,group_n_days,robust_z,frac_dev_from_dt_FG,jitter_maxabs_ms,frac_maxabs,jitter_unstable,flag_reasons
2014-12-11,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,15.000000000,15.019933416,14.999991748,0.000000909,1044,14796.998,1.329e-03,2956.255,1.968e-01,False,robust
2015-08-12,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,12.523490429,14.999995752,14.999991748,0.000000909,1044,2.971,1.977e-01,1244.143,8.294e-02,False,nominal
2015-08-13,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,12.569601536,14.999995601,14.999991748,0.000000909,1044,2.859,1.934e-01,1222.008,8.147e-02,False,nominal
2015-08-14,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,12.618778229,14.999996110,14.999991748,0.000000909,1044,3.237,1.887e-01,1197.321,7.982e-02,False,nominal
2015-08-15,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,12.660358429,14.999995105,14.999991748,0.000000909,1044,2.491,1.848e-01,1176.438,7.843e-02,False,nominal
2015-08-16,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,12.710954666,14.999996223,14.999991748,0.000000909,1044,3.321,1.801e-01,1152.007,7.680e-02,False,nominal
2015-08-17,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,12.751585007,14.999995494,14.999991748,0.000000909,1044,2.780,1.763e-01,1130.438,7.536e-02,False,nominal
2015-08-18,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,12.797205448,14.999995587,14.999991748,0.000000909,1044,2.849,1.721e-01,1108.648,7.391e-02,False,nominal
2015-08-19,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,12.836175919,14.999995579,14.999991748,0.000000909,1044,2.843,1.686e-01,1093.193,7.288e-02,False,nominal
2015-08-20,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,12.890282154,14.999995562,14.999991748,0.000000909,1044,2.830,1.637e-01,1062.363,7.082e-02,False,nominal
2015-08-21,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,7.500000000,7.499997730,14.999991748,0.000000909,1044,-5565100.845,3.027e-07,1038.912,1.385e-01,False,robust
2015-08-22,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,2.010268211,2.142856517,14.999991748,0.000000909,1044,-9540174.827,6.596e-02,107.334,5.009e-02,False,robust+nominal
2015-08-23,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.960913181,1.874999517,14.999991748,0.000000909,1044,-9738928.481,4.381e-02,50.782,2.708e-02,False,robust
2015-08-24,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.916742802,1.874999498,14.999991748,0.000000909,1044,-9738928.495,2.178e-02,28.830,1.538e-02,False,robust
2015-08-25,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.870981693,1.874999512,14.999991748,0.000000909,1044,-9738928.485,2.147e-03,38.692,2.064e-02,False,robust
2015-08-26,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.825103283,1.874999473,14.999991748,0.000000909,1044,-9738928.514,2.734e-02,62.027,3.308e-02,False,robust
2015-08-27,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.774599075,1.874999422,14.999991748,0.000000909,1044,-9738928.552,5.658e-02,86.984,4.639e-02,False,robust+nominal
2015-08-28,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.730323792,1.666666207,14.999991748,0.000000909,1044,-9893514.722,3.679e-02,41.890,2.513e-02,False,robust
2015-08-29,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,13.318835735,14.969554491,14.999991748,0.000000909,1044,-22584.872,1.239e-01,90504.557,6.046e+00,True,robust+nominal
2015-08-30,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.631717682,1.666666210,14.999991748,0.000000909,1044,-9893514.720,2.142e-02,53.646,3.219e-02,False,robust
2015-08-31,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.585438251,1.663516067,14.999991748,0.000000909,1044,-9895852.170,4.925e-02,256400.505,1.541e+02,True,robust
2015-09-01,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.538448334,1.499999566,14.999991748,0.000000909,1044,-10017183.709,2.499e-02,27.963,1.864e-02,False,robust
2015-09-02,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.489444733,1.499999534,14.999991748,0.000000909,1044,-10017183.733,7.086e-03,42.048,2.803e-02,False,robust
2015-09-03,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.446298599,1.499999618,14.999991748,0.000000909,1044,-10017183.670,3.713e-02,61.410,4.094e-02,False,robust
2015-09-04,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.402119160,1.363636006,14.999991748,0.000000909,1044,-10118367.385,2.745e-02,27.886,2.045e-02,False,robust
2015-09-05,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.356136799,1.363635988,14.999991748,0.000000909,1044,-10118367.398,5.530e-03,39.095,2.867e-02,False,robust
2015-09-06,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.310824394,1.363636019,14.999991748,0.000000909,1044,-10118367.375,4.029e-02,62.148,4.557e-02,False,robust
2015-09-07,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.266668797,1.249999686,14.999991748,0.000000909,1044,-10202687.129,1.316e-02,26.564,2.125e-02,False,robust
2015-09-08,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.223713875,1.249999667,14.999991748,0.000000909,1044,-10202687.144,2.148e-02,51.689,4.135e-02,False,robust
2015-09-09,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,13.826817513,14.992638344,14.999991748,0.000000909,1044,-5456.329,8.432e-02,15502.593,1.034e+00,True,nominal
2015-09-10,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.130053997,1.153845884,14.999991748,0.000000909,1044,-10274034.600,2.105e-02,47.850,4.147e-02,False,robust
2015-09-11,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.090573788,1.071428254,14.999991748,0.000000909,1044,-10335189.639,1.756e-02,30.749,2.870e-02,False,robust
2015-09-12,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,1.037232399,1.043043866,14.999991748,0.000000909,1044,-10356251.253,5.603e-03,816942.822,7.832e+02,True,robust
2015-09-13,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.987586498,0.999999728,14.999991748,0.000000909,1044,-10388190.608,1.257e-02,43.591,4.359e-02,False,robust
2015-09-14,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.943367958,0.937499745,14.999991748,0.000000909,1044,-10434566.472,6.220e-03,38.154,4.070e-02,False,robust
2015-09-15,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.898183823,0.882352688,14.999991748,0.000000909,1044,-10475486.363,1.763e-02,27.767,3.147e-02,False,robust
2015-09-16,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.851137638,0.833333083,14.999991748,0.000000909,1044,-10511859.598,2.092e-02,28.088,3.371e-02,False,robust
2015-09-17,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.800741196,0.789473446,14.999991748,0.000000909,1044,-10544404.064,1.407e-02,44.430,5.628e-02,False,robust
2015-09-18,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.752114773,0.749999793,14.999991748,0.000000909,1044,-10573694.069,2.812e-03,40.211,5.362e-02,False,robust
2015-09-19,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.703885555,0.714285528,14.999991748,0.000000909,1044,-10600194.555,1.478e-02,42.556,5.958e-02,False,robust
2015-09-20,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.658396244,0.652173744,14.999991748,0.000000909,1044,-10646282.371,9.451e-03,34.919,5.354e-02,False,robust
2015-09-21,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.611304760,0.599999837,14.999991748,0.000000909,1044,-10684996.142,1.849e-02,29.116,4.853e-02,False,robust
2015-09-22,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.566049099,0.555555873,14.999991748,0.000000909,1044,-10717974.187,1.854e-02,516.380,9.295e-01,True,robust
2015-09-23,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.522567749,0.517241238,14.999991748,0.000000909,1044,-10746404.184,1.019e-02,32.821,6.345e-02,False,robust
2015-09-24,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.475865841,0.468749883,14.999991748,0.000000909,1044,-10782385.450,1.495e-02,31.492,6.718e-02,False,robust
2015-09-25,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.437939167,0.441176355,14.999991748,0.000000909,1044,-10802845.395,7.392e-03,48.874,1.108e-01,False,robust
2015-09-26,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.379211903,0.374999916,14.999991748,0.000000909,1044,-10851949.242,1.111e-02,30.311,8.083e-02,False,robust
2015-09-27,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.342625618,0.340909009,14.999991748,0.000000909,1044,-10877245.173,5.010e-03,32.906,9.652e-02,False,robust
2015-09-28,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.303933144,0.303448011,14.999991748,0.000000909,1044,-10905041.760,1.596e-03,225407.340,7.428e+02,True,robust
2015-09-29,RS01SUM1-LJ01B-09-PRESTB102,1,RS01SUM1_variability.csv,0.252697945,0.251893162,14.999991748,0.000000909,1044,-10943296.181,3.185e-03,189609.603,7.527e+02,True,robust
